message,order_type,scrip,price,sl,order_found
 TODAY'S SUPERHIT TRADES 6-8-2020 1 - PNB GILTS BTST BUY 44.5👉👉👉👉49🚀🚀🚀🚀🚀 MEGA JACKPOT 2 - ADF FOOD BTST BUY 355👉👉👉👉367🚀🚀🚀🚀 JACKPOT 3 - STAR ⭐ BTST BUY 500👉👉👉550🚀🚀🚀🚀 BLOCKBUSTER 4 - INTRADAY BUY SUNDRAM 440👉👉👉👉450🚀🚀🚀🚀 BOOKED 5 - INTRADAY BUY HARRISON MALAY 96.5👉👉👉98.5🚀🚀🚀 BOOKED 6 - INTRADAY BUY UFLEX 313👉👉👉317🚀🚀🚀🚀 BOOKED 7 - INTRADAY BUY SAKSOFT 270👉👉👉👉👉289🚀🚀🚀🚀 UPPER CIRCUIT SUPER HIT GUJARAT ALKALI SL HIT AND DBL NOT PERFORMED REST ALL GIVEN MEGA JACKPOT PROFIT TODAY ONLY STAR AND PNB GILTS WERE ENOUGH TO MAKE 50000 RS PROFIT TODAY REMEMBER - ONLY POSSIBLE WITH YOUR FRIEND RAJ DATTANI,,,0.0,0.0,False
 BRITANNIA THOSE WHO HAVE BOOKED GREAT THOSE WHO ARE HOLDING NO PROBLEM HOLD WITH SL AS MENTIONED,,,0.0,0.0,False
 THINGS TO NOTE - SAKSOFT INTRADAY BUY 270👉👉👉👉282🚀🚀🚀🚀 BTST BUY 275👉👉👉289🚀🚀🚀🚀 UPPER CIRCUIT MEGA JACKPOT PROFIT NOW WE HAVE ALMOST BOOKED 80-90% PROFIT IN IT AS THIS MUCH PROFITABLE IN FEW MINUTES IS NOT LESS HOPE YOU ALL BOOKED A MEGA JACKPOT PROFIT IN IT IF YOU ARE HOLDING THAN KEEP SL 270 SO NO CHANCE OF LOSS NOW,,,0.0,0.0,False
 275👉👉👉👉👉288🚀🚀🚀🚀 ALMOST AT UPPER CIRCUIT BOOK OR TRAIL SL YOUR CHOICE NOW NO CHANCE OF LOSS IN IT,,,0.0,0.0,False
 STOCKS TO HOLD SAKSOFT NUCLEUS SOFT ALEMBIC ASAHI SONGWON ( IF YOU WANT YOU CAN HOLD OTHERWISE EXIT AT LAST ) THIS 2 YOU CAN HOLD FROM TODAY'S POSITION REST ALL TODAY'S CALL EXIT AT LAST SHORT TERM PICKS CERA ; BBTC ; ALEMBIC PHARMA ; ADF FOOD ; MARKSANS ; GALAXY SURF ; PNB GILTS YOU CAN HOLD JUST KEEP TRAILING SL,,,0.0,0.0,False
 LAST BTST BUY SAKSOFT AT ANY RATE SL 260 TARGET BIG POSSIBLE CMP - 275-280,,,0.0,0.0,False
 BTST BUY ALEMBIC @93-94 SL 90 TARGET HOLD, BTST ,"('ALEMBICLTD', 'ALEMBIC LIMITED')",93,90 ,True
 BY SEEING IT SPEED LOOKS LIKE 1100 COMING TODAY ONLY 🤣🤣,,,0.0,0.0,False
 ALEMBIC PHARMA SHORT TERM PICK ROCKED 1000👉👉👉👉1050+🚀🚀🚀🚀 NEW LIFE TIME HIGH AGAIN WE WERE FIRST TO BUY IT HOLD TIGHT FOR 1100-1200+ SOON,,,0.0,0.0,False
 SHORT TERM PICK - CERA BUY CERA @2260-2270 SL 2200 TARGET 2350-2400+, SHORT TERM PICK - CERA ,"('CERA', 'CERA SANITARYWARE LIMITED')",2260,2200 ,True
 DONE UPPER CIRCUIT ✅,,,0.0,0.0,False
 HIGH RISK HIGH REWARD INTRADAY BUY UFLEX @313 SL 307 TARGET 330, HIGH RISK HIGH REWARD INTRADAY ,"('UFLEX', 'UFLEX LIMITED')",313,307 ,True
 JUST VIEW - CAPLIN POINT IS SUSTAINABLE ABOVE 620 THAN UPPER CIRCUIT POSSIBLE,,,0.0,0.0,False
 MUST TRY BUY NUCLEUS SOFTWARE @340-341 SL 335 ONLY TARGET HOLD, MUST TRY ,"('NUCLEUS', 'NUCLEUS SOFTWARE EXPORTS')",340,335 ,True
 282🚀🚀🚀🚀🚀 HEADING TOWARDS NEW CIRCUIT POSSIBLE IN FEW MINUTES,,,0.0,0.0,False
 BTST BUY DBL @339-340 SL 330 TARGET HOLD, BTST ,"('DBL', 'DILIP BUILDCON LIMITED')",339,330 ,True
 BUY SAKSOFT @270 SL 260 TARGET UPPER CIRCUIT, ,"('SAKSOFT', 'SAKSOFT LIMITED')",270,260 ,True
 INTRADAY + BTST BUY ASAHI SONGWON @230-232 SL 225 ONLY TARGET BIG POSSIBLE, INTRADAY + BTST ,"('ASAHISONG', 'ASAHI SONGWON COLOR LIMITED')",230,225 ,True
 96.5👉👉👉98.5🚀🚀🚀🚀 2 RS REWARD RISK WAS 1 RS ONLY NOW IF SUSTIAN ABOVE 97 THAN 100 OR MORE IS POSSIBLE BUT NOW NO CHANCE OF LOSS IN IT,,,0.0,0.0,False
 INTRADAY BUY HARRISON MALAY @96.5 SL 95.5 ONLY TARGET HOLD, INTRADAY ,"('HARRMALAYA', 'HARRISON MALAYALAM LIMITED')",96.5,95.5,True
 TODAY 600+,,,0.0,0.0,False
 NEVER MISS BRITANNIA IT IS OUR FAVOURITE STOCK 5000 RS PROFIT IN FEW MINUTES IS NOT LESS IF YOU ARE HAPPY WITH 5000 RS PROFIT THAN YOU CAN BOOK OTHERWISE KEEP TRAILING YOUR SL,,,0.0,0.0,False
 JUST VIEW - JAY BHARAT MARUTI GIVEN TODAY BREAKOUT ABOVE 190 IF SUSTIAN ABOVE 190 THAN 200-205-210 IS POSSIBLE IN 1 WEEK,,,0.0,0.0,False
